CustomerTransactionID,CustomerID,TransactionTypeID,InvoiceID,PaymentMethodID,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
369816,401,3,,4,2019-01-01,.00,.00,-5536.10,.00,2019-01-01,True,2,2019-01-01 11:30:00.0000000
369817,844,3,,4,2019-01-01,.00,.00,-849.85,.00,2019-01-01,True,2,2019-01-01 11:30:00.0000000
369818,1018,3,,4,2019-01-01,.00,.00,-4533.30,.00,2019-01-01,True,2,2019-01-01 11:30:00.0000000
369819,1026,3,,4,2019-01-01,.00,.00,-1738.80,.00,2019-01-01,True,2,2019-01-01 11:30:00.0000000
369820,1028,3,,4,2019-01-01,.00,.00,-565.80,.00,2019-01-01,True,2,2019-01-01 11:30:00.0000000
369822,1,1,76621,,2019-01-01,1728.00,259.20,1987.20,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369824,401,1,76622,,2019-01-01,1512.00,226.80,1738.80,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369826,1023,1,76623,,2019-01-01,621.60,93.24,714.84,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369832,1,1,76624,,2019-01-01,3134.10,470.12,3604.22,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369836,401,1,76625,,2019-01-01,2277.00,341.55,2618.55,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369842,1,1,76626,,2019-01-01,905.00,135.75,1040.75,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369848,401,1,76627,,2019-01-01,6195.40,929.31,7124.71,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369854,1,1,76628,,2019-01-01,925.20,138.78,1063.98,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369863,1,3,,4,2019-01-02,.00,.00,-7696.15,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369864,401,3,,4,2019-01-02,.00,.00,-11482.06,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369865,1023,3,,4,2019-01-02,.00,.00,-714.84,.00,2019-01-02,True,12,2019-01-02 11:30:00.0000000
369867,1,1,76629,,2019-01-02,1512.00,226.80,1738.80,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369869,1,1,76630,,2019-01-02,2560.00,384.00,2944.00,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369872,1003,1,76631,,2019-01-02,1022.40,153.36,1175.76,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369878,1,1,76632,,2019-01-02,3566.60,534.99,4101.59,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369882,401,1,76633,,2019-01-02,478.00,71.70,549.70,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369891,1,3,,4,2019-01-03,.00,.00,-8784.39,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369892,401,3,,4,2019-01-03,.00,.00,-549.70,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369893,1003,3,,4,2019-01-03,.00,.00,-1175.76,.00,2019-01-03,True,6,2019-01-03 11:30:00.0000000
369899,1,1,76634,,2019-01-03,2890.00,433.50,3323.50,.00,2019-01-04,True,5,2019-01-04 11:30:00.0000000
369904,1,1,76635,,2019-01-03,1403.00,210.45,1613.45,.00,2019-01-04,True,5,2019-01-04 11:30:00.0000000
369907,834,1,76636,,2019-01-03,874.20,131.13,1005.33,.00,2019-01-04,True,5,2019-01-04 11:30:00.0000000
369916,1,3,,4,2019-01-04,.00,.00,-4936.95,.00,2019-01-04,True,5,2019-01-04 11:30:00.0000000
