PurchaseOrderLineID,PurchaseOrderID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,LastEditedBy,LastEditedWhen
15706,3987,77,2121,"The Gu" red shirt XML tag t-shirt (White) XXS,2121,6,84.00,2020-01-02,True,20,2020-01-02 07:00:00.0000000
15707,3987,78,2201,"The Gu" red shirt XML tag t-shirt (White) XS,2201,6,84.00,2020-01-02,True,20,2020-01-02 07:00:00.0000000
15708,3987,86,2360,"The Gu" red shirt XML tag t-shirt (White) 5XL,2360,6,96.00,2020-01-02,True,20,2020-01-02 07:00:00.0000000
15709,3987,98,2375,"The Gu" red shirt XML tag t-shirt (Black) 4XL,2375,6,96.00,2020-01-02,True,20,2020-01-02 07:00:00.0000000
15710,3988,193,1317,Black and orange glass with care despatch tape 48mmx75m,1317,7,38.40,2020-01-02,True,20,2020-01-02 07:00:00.0000000
15711,3988,204,1679,Tape dispenser (Red),1679,7,170.00,2020-01-02,True,20,2020-01-02 07:00:00.0000000
15712,3989,77,2119,"The Gu" red shirt XML tag t-shirt (White) XXS,2119,6,84.00,2020-01-03,True,15,2020-01-03 07:00:00.0000000
15713,3989,78,2199,"The Gu" red shirt XML tag t-shirt (White) XS,2199,6,84.00,2020-01-03,True,15,2020-01-03 07:00:00.0000000
15714,3989,86,2358,"The Gu" red shirt XML tag t-shirt (White) 5XL,2358,6,96.00,2020-01-03,True,15,2020-01-03 07:00:00.0000000
15715,3989,98,2373,"The Gu" red shirt XML tag t-shirt (Black) 4XL,2373,6,96.00,2020-01-03,True,15,2020-01-03 07:00:00.0000000
15716,3990,193,1315,Black and orange glass with care despatch tape 48mmx75m,1315,7,38.40,2020-01-03,True,15,2020-01-03 07:00:00.0000000
15717,3990,204,1677,Tape dispenser (Red),1677,7,170.00,2020-01-03,True,15,2020-01-03 07:00:00.0000000
15718,3991,77,2117,"The Gu" red shirt XML tag t-shirt (White) XXS,2117,6,84.00,2020-01-06,True,17,2020-01-06 07:00:00.0000000
15719,3991,78,2197,"The Gu" red shirt XML tag t-shirt (White) XS,2197,6,84.00,2020-01-06,True,17,2020-01-06 07:00:00.0000000
15720,3991,86,2359,"The Gu" red shirt XML tag t-shirt (White) 5XL,2359,6,96.00,2020-01-06,True,17,2020-01-06 07:00:00.0000000
